From,To,Fastest Train Time
Sinsheim (Elsenz) hbf,Frankfurt hbf,1 h 44m
Frankfurt hbf,Mainz hbf,35m
Mainz hbf,Frankfurt hbf,35m
Frankfurt hbf,Wolfsburg hbf,3 h 4m
Wolfsburg hbf,Frankfurt hbf,3 h 4m
Frankfurt hbf,Mönchengladbach hbf,2 h 2m
Mönchengladbach hbf,Frankfurt hbf,2 h 2m
Frankfurt hbf,Bremen hbf,3 h 29m
Bremen hbf,Frankfurt hbf,3 h 29m
Frankfurt hbf,Augsburg hbf,2 h 51m
Augsburg hbf,Frankfurt hbf,2 h 51m
Frankfurt hbf,Bochum hbf,2 h 34m
Bochum hbf,Frankfurt hbf,2 h 34m
Frankfurt hbf,Hamburg hbf,3 h 32m
Hamburg hbf,Frankfurt hbf,3 h 32m
Frankfurt hbf,Kiel hbf,4 h 46m
Kiel hbf,Frankfurt hbf,4 h 46m
Frankfurt hbf,Köln hbf,1 h 6m
Köln hbf,Frankfurt hbf,1 h 6m
Frankfurt hbf,Darmstadt hbf,17m
Darmstadt hbf,Frankfurt hbf,17m
Frankfurt hbf,Düsseldorf hbf,1 h 27m
Düsseldorf hbf,Frankfurt hbf,1 h 27m
Frankfurt hbf,Karlsruhe hbf,1 h 3m
Karlsruhe hbf,Frankfurt hbf,1 h 3m
Frankfurt hbf,Hannover hbf,2 h 14m
Hannover hbf,Frankfurt hbf,2 h 14m
Frankfurt hbf,Paderborn hbf,2 h 42m
Paderborn hbf,Frankfurt hbf,2 h 42m
Frankfurt hbf,Fürth hbf,2 h 16m
Fürth hbf,Frankfurt hbf,2 h 16m
Frankfurt hbf,Gelsenkirchen hbf,2 h 13m
Gelsenkirchen hbf,Frankfurt hbf,2 h 13m
Frankfurt hbf,Neunkirchen hbf,2 h 5m
Neunkirchen hbf,Frankfurt hbf,2 h 5m
Frankfurt hbf,Nürnberg hbf,2 h 2m
Nürnberg hbf,Frankfurt hbf,2 h 2m
Frankfurt hbf,Kaiserslautern hbf,1 h 25m
Kaiserslautern hbf,Frankfurt hbf,1 h 25m
Frankfurt hbf,Magdeburg hbf,3 h 43m
Magdeburg hbf,Frankfurt hbf,3 h 43m
Frankfurt hbf,Braunschweig hbf,2 h 45m
Braunschweig hbf,Frankfurt hbf,2 h 45m
Frankfurt hbf,Ulm hbf,2 h 7m
Ulm hbf,Frankfurt hbf,2 h 7m
Frankfurt hbf,Münster (Westf) hbf,3 h 1m
Münster (Westf) hbf,Frankfurt hbf,3 h 1m
Frankfurt hbf,Rostock hbf,6 h 32m
Rostock hbf,Frankfurt hbf,6 h 32m
Freiburg (Breisgau) hbf,Berlin hbf,6 h 15m
Berlin hbf,Freiburg (Breisgau) hbf,6 h 15m
Freiburg (Breisgau) hbf,Sinsheim (Elsenz) hbf,2 h 26m
Sinsheim (Elsenz) hbf,Freiburg (Breisgau) hbf,2 h 26m
Freiburg (Breisgau) hbf,Mainz hbf,2 h 12m
Mainz hbf,Freiburg (Breisgau) hbf,2 h 12m
Freiburg (Breisgau) hbf,Wolfsburg hbf,5 h 15m
Wolfsburg hbf,Freiburg (Breisgau) hbf,5 h 15m
Freiburg (Breisgau) hbf,Mönchengladbach hbf,4 h 1m
Mönchengladbach hbf,Freiburg (Breisgau) hbf,4 h 1m
Freiburg (Breisgau) hbf,Bremen hbf,5 h 52m
Bremen hbf,Freiburg (Breisgau) hbf,5 h 52m
Freiburg (Breisgau) hbf,Augsburg hbf,3 h 22m
Augsburg hbf,Freiburg (Breisgau) hbf,3 h 22m
Freiburg (Breisgau) hbf,Bochum hbf,4 h 26m
Bochum hbf,Freiburg (Breisgau) hbf,4 h 26m
Freiburg (Breisgau) hbf,Hamburg hbf,5 h 48m
Hamburg hbf,Freiburg (Breisgau) hbf,5 h 48m
Freiburg (Breisgau) hbf,Kiel hbf,7 h 3m
Kiel hbf,Freiburg (Breisgau) hbf,7 h 3m
Freiburg (Breisgau) hbf,Köln hbf,3 h 9m
Köln hbf,Freiburg (Breisgau) hbf,3 h 9m
Freiburg (Breisgau) hbf,Darmstadt hbf,2 h 26m
Darmstadt hbf,Freiburg (Breisgau) hbf,2 h 26m
Freiburg (Breisgau) hbf,Düsseldorf hbf,3 h 22m
Düsseldorf hbf,Freiburg (Breisgau) hbf,3 h 22m
Freiburg (Breisgau) hbf,Karlsruhe hbf,1 h 1m
Karlsruhe hbf,Freiburg (Breisgau) hbf,1 h 1m
Freiburg (Breisgau) hbf,Hannover hbf,4 h 29m
Hannover hbf,Freiburg (Breisgau) hbf,4 h 29m
Freiburg (Breisgau) hbf,Paderborn hbf,5 h 14m
Paderborn hbf,Freiburg (Breisgau) hbf,5 h 14m
Freiburg (Breisgau) hbf,Fürth hbf,4 h 46m
Fürth hbf,Freiburg (Breisgau) hbf,4 h 46m
Freiburg (Breisgau) hbf,Gelsenkirchen hbf,3 h 58m
Gelsenkirchen hbf,Freiburg (Breisgau) hbf,3 h 58m
Freiburg (Breisgau) hbf,Neunkirchen hbf,3 h 10m
Neunkirchen hbf,Freiburg (Breisgau) hbf,3 h 10m
Freiburg (Breisgau) hbf,Nürnberg hbf,4 h 36m
Nürnberg hbf,Freiburg (Breisgau) hbf,4 h 36m
Freiburg (Breisgau) hbf,Kaiserslautern hbf,2 h 20m
Kaiserslautern hbf,Freiburg (Breisgau) hbf,2 h 20m
Freiburg (Breisgau) hbf,Magdeburg hbf,6 h 2m
Magdeburg hbf,Freiburg (Breisgau) hbf,6 h 2m
Freiburg (Breisgau) hbf,Braunschweig hbf,5 h 4m
Braunschweig hbf,Freiburg (Breisgau) hbf,5 h 4m
Freiburg (Breisgau) hbf,Ulm hbf,2 h 39m
Ulm hbf,Freiburg (Breisgau) hbf,2 h 39m
Freiburg (Breisgau) hbf,Münster (Westf) hbf,4 h 48m
Münster (Westf) hbf,Freiburg (Breisgau) hbf,4 h 48m
Freiburg (Breisgau) hbf,Rostock hbf,9 h
Rostock hbf,Freiburg (Breisgau) hbf,9 h
Berlin hbf,Sinsheim (Elsenz) hbf,6 h 4m
Sinsheim (Elsenz) hbf,Berlin hbf,6 h 4m
Berlin hbf,Mainz hbf,4 h 52m
Mainz hbf,Berlin hbf,4 h 52m
Berlin hbf,Wolfsburg hbf,1 h 5m
Wolfsburg hbf,Berlin hbf,1 h 5m
Berlin hbf,Mönchengladbach hbf,4 h 52m
Mönchengladbach hbf,Berlin hbf,4 h 52m
Berlin hbf,Bremen hbf,2 h 48m
Bremen hbf,Berlin hbf,2 h 48m
Berlin hbf,Augsburg hbf,4 h 15m
Augsburg hbf,Berlin hbf,4 h 15m
Berlin hbf,Bochum hbf,4 h
Bochum hbf,Berlin hbf,4 h
Berlin hbf,Hamburg hbf,1 h 46m
Hamburg hbf,Berlin hbf,1 h 46m
Berlin hbf,Kiel hbf,3 h 14m
Kiel hbf,Berlin hbf,3 h 14m
Berlin hbf,Köln hbf,4 h 7m
